Country,Year,Cancer_Type,Incidence_Rate,Mortality_Rate,Environmental_Factors,Latitude,Longitude,Continent
Afghanistan,2010,Lung,134.1,71.5,32.1,33.93911,67.709953,Asia
Afghanistan,2010,Breast,67.4,29.5,66.7,33.93911,67.709953,Asia
Afghanistan,2010,Colorectal,125.8,48.1,34.0,33.93911,67.709953,Asia
Afghanistan,2011,Lung,38.4,31.0,85.3,33.93911,67.709953,Asia
Afghanistan,2011,Breast,134.4,17.5,10.5,33.93911,67.709953,Asia
Afghanistan,2011,Colorectal,61.9,28.0,44.9,33.93911,67.709953,Asia
Afghanistan,2012,Lung,43.6,56.0,3.8,33.93911,67.709953,Asia
Afghanistan,2012,Breast,121.0,30.5,71.2,33.93911,67.709953,Asia
Afghanistan,2012,Colorectal,125.7,54.7,45.8,33.93911,67.709953,Asia
Afghanistan,2013,Lung,96.4,54.3,18.8,33.93911,67.709953,Asia
Afghanistan,2013,Breast,110.3,35.6,84.4,33.93911,67.709953,Asia
Afghanistan,2013,Colorectal,94.4,47.7,61.3,33.93911,67.709953,Asia
Afghanistan,2014,Lung,145.0,64.0,30.0,33.93911,67.709953,Asia
Afghanistan,2014,Breast,149.3,65.7,17.3,33.93911,67.709953,Asia
Afghanistan,2014,Colorectal,113.3,41.2,53.2,33.93911,67.709953,Asia
Afghanistan,2015,Lung,138.7,69.6,26.1,33.93911,67.709953,Asia
Afghanistan,2015,Breast,31.9,29.0,32.6,33.93911,67.709953,Asia
Afghanistan,2015,Colorectal,115.4,29.7,58.2,33.93911,67.709953,Asia
Afghanistan,2016,Lung,83.0,68.4,68.6,33.93911,67.709953,Asia
Afghanistan,2016,Breast,70.8,69.0,76.1,33.93911,67.709953,Asia
Afghanistan,2016,Colorectal,98.3,79.4,20.3,33.93911,67.709953,Asia
Afghanistan,2017,Lung,65.7,32.4,69.0,33.93911,67.709953,Asia
Afghanistan,2017,Breast,122.9,40.9,8.5,33.93911,67.709953,Asia
Afghanistan,2017,Colorectal,59.8,66.6,19.6,33.93911,67.709953,Asia
Afghanistan,2018,Lung,119.7,60.5,56.3,33.93911,67.709953,Asia
Afghanistan,2018,Breast,57.8,56.4,3.8,33.93911,67.709953,Asia
Afghanistan,2018,Colorectal,141.4,59.3,82.3,33.93911,67.709953,Asia
Afghanistan,2019,Lung,96.9,64.5,97.0,33.93911,67.709953,Asia
Afghanistan,2019,Breast,45.4,11.7,74.1,33.93911,67.709953,Asia
Afghanistan,2019,Colorectal,128.6,52.7,35.7,33.93911,67.709953,Asia
Afghanistan,2020,Lung,50.6,71.5,96.5,33.93911,67.709953,Asia
Afghanistan,2020,Breast,39.8,46.7,4.3,33.93911,67.709953,Asia
Afghanistan,2020,Colorectal,59.8,77.7,56.1,33.93911,67.709953,Asia
Afghanistan,2021,Lung,142.5,16.2,90.0,33.93911,67.709953,Asia
Afghanistan,2021,Breast,84.4,24.6,58.0,33.93911,67.709953,Asia
Afghanistan,2021,Colorectal,45.1,62.5,23.1,33.93911,67.709953,Asia
Afghanistan,2022,Lung,146.7,70.5,24.5,33.93911,67.709953,Asia
